line_id,title,pony,prev_pony,prev_dialog,dialog,next_pony,next_dialog
45,A Royal Problem,Princess Celestia,Princess Celestia,No! I'll never turn into you!,"Oh, Luna, I can't do this! I was wrong! Your job is so incredibly hard! You have to battle nightmares and work in the darkness and do it all alone! It takes such a brave, strong pony to do what you do!",Princess Celestia,[serious] What?
46,A Royal Problem,Princess Celestia,Princess Celestia,"Oh, Luna, I can't do this! I was wrong! Your job is so incredibly hard! You have to battle nightmares and work in the darkness and do it all alone! It takes such a brave, strong pony to do what you do!",[serious] What?,Princess Celestia,"No, you're not! You are not real, and you will never exist again!"
47,A Royal Problem,Princess Celestia,Princess Celestia,[serious] What?,"No, you're not! You are not real, and you will never exist again!",Princess Celestia,But my magic isn't powerful enough! I thought if we worked together...!
48,A Royal Problem,Princess Celestia,Princess Celestia,"No, you're not! You are not real, and you will never exist again!",But my magic isn't powerful enough! I thought if we worked together...!,Princess Celestia,Only because you were here. I don't know how you do this alone.
49,A Royal Problem,Princess Celestia,Princess Celestia,But my magic isn't powerful enough! I thought if we worked together...!,Only because you were here. I don't know how you do this alone.,Princess Celestia,"Oh! Heh. H-How... eh, nice. Ahem. [chews, gags, gulps] They're... delicious. Heh. Thank you."
50,A Royal Problem,Princess Celestia,Princess Celestia,Only because you were here. I don't know how you do this alone.,"Oh! Heh. H-How... eh, nice. Ahem. [chews, gags, gulps] They're... delicious. Heh. Thank you.",Princess Celestia,"In that case, they are terrible!"
51,A Royal Problem,Princess Celestia,Princess Celestia,"Oh! Heh. H-How... eh, nice. Ahem. [chews, gags, gulps] They're... delicious. Heh. Thank you.","In that case, they are terrible!",Princess Celestia,"[sighs] But it means a lot that you tried. I love you, sister."
52,A Royal Problem,Princess Celestia,Princess Celestia,"In that case, they are terrible!","[sighs] But it means a lot that you tried. I love you, sister.",Princess Celestia,[laughing] It's all real. It was the right call going with your gut.
53,A Royal Problem,Princess Celestia,Princess Celestia,"[sighs] But it means a lot that you tried. I love you, sister.",[laughing] It's all real. It was the right call going with your gut.,Princess Celestia,It was just what we needed. The experience has made us closer than ever.
54,A Royal Problem,Princess Celestia,Princess Celestia,[laughing] It's all real. It was the right call going with your gut.,It was just what we needed. The experience has made us closer than ever.,Princess Celestia,I believe that one means your mission is complete.
55,A Royal Problem,Princess Celestia,Princess Celestia,It was just what we needed. The experience has made us closer than ever.,I believe that one means your mission is complete.,Princess Celestia,"Um, a little."
56,A Royal Problem,Princess Celestia,Princess Celestia,I believe that one means your mission is complete.,"Um, a little.",Princess Celestia,[gasps] What have you done?!
57,A Royal Problem,Princess Celestia,Princess Celestia,"Um, a little.",[gasps] What have you done?!,Princess Celestia,[sighs] Perhaps. But she is like this every morning.
58,A Royal Problem,Princess Celestia,Princess Celestia,[gasps] What have you done?!,[sighs] Perhaps. But she is like this every morning.,Princess Celestia,"And you have it so much worse, do you?! You've spent your evenings flitting around giving ponies lovely dreams! Oh, it sounds just awful!"
59,A Royal Problem,Princess Celestia,Princess Celestia,[sighs] Perhaps. But she is like this every morning.,"And you have it so much worse, do you?! You've spent your evenings flitting around giving ponies lovely dreams! Oh, it sounds just awful!",Princess Celestia,"You think I don't get tired? I'm exhausted! Oh, I apologize for not noticing flowers in a wall sconce. But by the time I get to retire for the night, I can barely see straight! Even so, I still make an effort to smile!"
60,A Royal Problem,Princess Celestia,Princess Celestia,"And you have it so much worse, do you?! You've spent your evenings flitting around giving ponies lovely dreams! Oh, it sounds just awful!","You think I don't get tired? I'm exhausted! Oh, I apologize for not noticing flowers in a wall sconce. But by the time I get to retire for the night, I can barely see straight! Even so, I still make an effort to smile!",Princess Celestia,Uh... Y-Yes. It does.
61,A Royal Problem,Princess Celestia,Princess Celestia,"You think I don't get tired? I'm exhausted! Oh, I apologize for not noticing flowers in a wall sconce. But by the time I get to retire for the night, I can barely see straight! Even so, I still make an effort to smile!",Uh... Y-Yes. It does.,Princess Celestia,Excuse me?
62,A Royal Problem,Princess Celestia,Princess Celestia,Uh... Y-Yes. It does.,Excuse me?,Princess Celestia,"Really? Oh, that is wonderful, Starlight! What is it?"
63,A Royal Problem,Princess Celestia,Princess Celestia,Excuse me?,"Really? Oh, that is wonderful, Starlight! What is it?",Princess Celestia,"Like I said, I enjoy this part."
64,A Royal Problem,Princess Celestia,Princess Celestia,"Really? Oh, that is wonderful, Starlight! What is it?","Like I said, I enjoy this part.",Princess Celestia,"[laughs] Oh, you really are a card!"
65,A Royal Problem,Princess Celestia,Princess Celestia,"Like I said, I enjoy this part.","[laughs] Oh, you really are a card!",Princess Celestia,"Good morning, sister! Join us?"
66,A Royal Problem,Princess Celestia,Princess Celestia,"[laughs] Oh, you really are a card!","Good morning, sister! Join us?",Princess Celestia,"Of course, Starlight! I really enjoy doing it. It's a small way to say I care."
67,A Royal Problem,Princess Celestia,Princess Celestia,"Good morning, sister! Join us?","Of course, Starlight! I really enjoy doing it. It's a small way to say I care.",Princess Celestia,"Well, there's nothing wrong here. Right, sister?"
68,A Royal Problem,Princess Celestia,Princess Celestia,"Of course, Starlight! I really enjoy doing it. It's a small way to say I care.","Well, there's nothing wrong here. Right, sister?",Princess Celestia,So the map sent you to solve a friendship problem?
69,A Royal Problem,Princess Celestia,Princess Celestia,"Well, there's nothing wrong here. Right, sister?",So the map sent you to solve a friendship problem?,Princess Celestia,"And yet you know exactly what it's like to be me?! Oh, please!"
70,A Royal Problem,Princess Celestia,Princess Celestia,So the map sent you to solve a friendship problem?,"And yet you know exactly what it's like to be me?! Oh, please!",,
71,Call of the Cutie,Princess Celestia,,,...can actually be the thing that helps you make your closest friends and realize how special you are. Hmm...,,
72,Castle Mane-ia,Princess Celestia,,,"[voice over] As you know, the ancient castle that I once shared with Princess Luna lies mostly in ruins, deep in the Everfree Forest. But if you look carefully, you may find a book that could prove helpful to your research, hidden somewhere in what's left of the castle library.",,
73,Celestial Advice,Princess Celestia,,,I think Starlight Glimmer might feel the same way about you. If that is what you're afraid of.,Princess Celestia,"Oh, Twilight, I'm not. I'm laughing because I had the exact same fears you're having."
74,Celestial Advice,Princess Celestia,Princess Celestia,I think Starlight Glimmer might feel the same way about you. If that is what you're afraid of.,"Oh, Twilight, I'm not. I'm laughing because I had the exact same fears you're having.",Princess Celestia,"Hmm. I was not aware that I was an expression. An appropriate one, of course, for even I don't know the answer. This is a momentous decision. You must consider all the possibilities."
75,Celestial Advice,Princess Celestia,Princess Celestia,"Oh, Twilight, I'm not. I'm laughing because I had the exact same fears you're having.","Hmm. I was not aware that I was an expression. An appropriate one, of course, for even I don't know the answer. This is a momentous decision. You must consider all the possibilities.",Princess Celestia,"This seems like a lovely path for Starlight. The changelings have so much to learn about how to enjoy love through friendships. Starlight would be busy for a very long time, but her work there would be very rewarding."
76,Celestial Advice,Princess Celestia,Princess Celestia,"Hmm. I was not aware that I was an expression. An appropriate one, of course, for even I don't know the answer. This is a momentous decision. You must consider all the possibilities.","This seems like a lovely path for Starlight. The changelings have so much to learn about how to enjoy love through friendships. Starlight would be busy for a very long time, but her work there would be very rewarding.",Princess Celestia,"Uh, this is Twilight's fantasy, Spike. There is no wrong way to fantasize."
77,Celestial Advice,Princess Celestia,Princess Celestia,"This seems like a lovely path for Starlight. The changelings have so much to learn about how to enjoy love through friendships. Starlight would be busy for a very long time, but her work there would be very rewarding.","Uh, this is Twilight's fantasy, Spike. There is no wrong way to fantasize.",Princess Celestia,"Only you can make that decision. It's a difficult one, but your heart knows what's right, even as it hurts."
78,Celestial Advice,Princess Celestia,Princess Celestia,"Uh, this is Twilight's fantasy, Spike. There is no wrong way to fantasize.","Only you can make that decision. It's a difficult one, but your heart knows what's right, even as it hurts.",Princess Celestia,Heh. Go on.
79,Celestial Advice,Princess Celestia,Princess Celestia,"Only you can make that decision. It's a difficult one, but your heart knows what's right, even as it hurts.",Heh. Go on.,Princess Celestia,So you have an overachieving student. Sounds familiar.
80,Celestial Advice,Princess Celestia,Princess Celestia,Heh. Go on.,So you have an overachieving student. Sounds familiar.,Princess Celestia,I can only imagine what that feels like.
81,Celestial Advice,Princess Celestia,Princess Celestia,So you have an overachieving student. Sounds familiar.,I can only imagine what that feels like.,Princess Celestia,"It's a wonderful feeling, isn't it? Watching your student shine the way you always knew they could."
82,Celestial Advice,Princess Celestia,Princess Celestia,I can only imagine what that feels like.,"It's a wonderful feeling, isn't it? Watching your student shine the way you always knew they could.",Princess Celestia,And that's why we're proud and honored to give them the Equestrian Pink Hearts of Courage!
83,Celestial Advice,Princess Celestia,Princess Celestia,"It's a wonderful feeling, isn't it? Watching your student shine the way you always knew they could.",And that's why we're proud and honored to give them the Equestrian Pink Hearts of Courage!,Princess Celestia,"Let me tell you a story. Once upon a time, there was a very bright young filly."
84,Celestial Advice,Princess Celestia,Princess Celestia,And that's why we're proud and honored to give them the Equestrian Pink Hearts of Courage!,"Let me tell you a story. Once upon a time, there was a very bright young filly.",Princess Celestia,"[voiceover] Yes, Spike. I was constantly surprised and impressed with her discoveries. But I noticed that her pursuit of academia was preventing her from reaching her full potential."
85,Celestial Advice,Princess Celestia,Princess Celestia,"Let me tell you a story. Once upon a time, there was a very bright young filly.","[voiceover] Yes, Spike. I was constantly surprised and impressed with her discoveries. But I noticed that her pursuit of academia was preventing her from reaching her full potential.",Princess Celestia,"[voiceover] Uh, yes, Spike. I had a decision to make. Oh, but it wasn't easy."
86,Celestial Advice,Princess Celestia,Princess Celestia,"[voiceover] Yes, Spike. I was constantly surprised and impressed with her discoveries. But I noticed that her pursuit of academia was preventing her from reaching her full potential.","[voiceover] Uh, yes, Spike. I had a decision to make. Oh, but it wasn't easy.",Princess Celestia,"Maybe I could close the library or throw a party in the castle. Oh, she'd have to talk to the other fillies then! Oh. I must send her away."
