line_id,character,dialog,title
246,Princess Celestia,"You won't. But Twilight, in the end, it must be you and you alone who ultimately assists Princess Cadance and Shining Armor in doing what needs to be done to protect the Empire. Do you understand?",The Crystal Empire - Part 1
247,Princess Celestia,"My dearest Twilight, you must come to Canterlot at once.",The Crystal Empire - Part 1
248,Princess Celestia,Yes. Princess Cadance and Shining Armor are already there. The others will be joining them soon.,The Crystal Empire - Part 1
249,Princess Celestia,"Doesn't matter to me. You failed the test, Twilight!",The Crystal Empire - Part 2
251,Princess Celestia,"Not only will you not move on to the next level of your studies, you won't continue your studies at all!",The Crystal Empire - Part 2
252,Princess Celestia,It must be you and you alone.,The Crystal Empire - Part 2
253,Princess Celestia,"Twilight, as I understand it, Spike brought Princess Cadance the Crystal Heart because you weren't sure how quickly you could find a way to escape the tower. You weren't willing to risk the future of the citizens of the Crystal Empire in an effort to guarantee your own. Far better that I have a student who understands the meaning of self-sacrifice than one who only looks out for her own best interests.",The Crystal Empire - Part 2
256,Princess Celestia,"In light of the little one's abilities, this Crystalling might be more important than ever. [to Cadance] Perhaps you should address your subjects and remind them of that.",The Crystalling - Part 1
257,Princess Celestia,"Push them back, my sister!",The Crystalling - Part 2
259,Princess Celestia,"We will do what we can, but you must hurry.",The Crystalling - Part 2
260,Princess Celestia,"Indeed. I'm glad to see you've found a way to share your unique gift, Sunburst. You may be more of a wizard than you think.",The Crystalling - Part 2
264,Princess Celestia,But you need to learn to tame these abilities through focused study.,The Cutie Mark Chronicles
267,Princess Celestia,"Stop stalling, Discord! What have you done with the Elements of Harmony?",The Return of Harmony Part 1
268,Princess Celestia,"You'll never get away with this, Discord!",The Return of Harmony Part 1
269,Princess Celestia,"Thank you, Twilight. Thank you, all.",The Return of Harmony Part 1
270,Princess Celestia,Enough! What have you done with the Elements of Harmony?,The Return of Harmony Part 1
272,Princess Celestia,"Discord is the mischievous spirit of disharmony. Before my sister and I stood up to him, he ruled Equestria in an eternal state of unrest and unhappiness. Luna and I saw how miserable life was for Earth ponies, Pegasi, and unicorns alike, so after discovering the Elements of Harmony, we combined our powers and rose up against him, turning him to stone.",The Return of Harmony Part 1
